file,k,dist,tight,seed,opt,method,eps,cost,ratio,evaluated,pruned,ms_min,ms_mean,feasible
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,approx,0.050000,30.021566,0.999999,70,119,0.020088,0.021320,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,approx,0.100000,30.021566,0.999999,0,8,0.015178,0.015676,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,approx,0.200000,30.021566,0.999999,0,8,0.014979,0.015070,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,brute,0.000000,29.637439,1.000001,40320,0,0.667568,0.715332,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,dp,0.000000,29.637439,1.000001,1024,0,0.017643,0.024192,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,dp_par,0.000000,29.637439,1.000001,1024,0,0.030407,0.041332,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,dp_prune,0.000000,29.637439,1.000001,970,54,0.069631,0.095374,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,approx,0.000000,29.637439,1.000001,792,232,0.077015,0.110540,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,approx,0.020000,29.637439,1.000001,663,340,0.063911,0.092282,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,approx,0.050000,29.637439,1.000001,422,298,0.041458,0.046983,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,approx,0.100000,29.637439,1.000001,131,177,0.029095,0.032580,1
instances/k08_clustered_loose_s1.txt,8,clustered,loose,1,29.6374,approx,0.200000,29.637439,1.000001,1,14,0.020108,0.020783,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,brute,0.000000,24.193568,0.999999,40320,0,0.733292,0.772021,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,dp,0.000000,24.193568,0.999999,1024,0,0.022733,0.048369,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,dp_par,0.000000,24.193568,0.999999,1024,0,0.029586,0.049541,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,dp_prune,0.000000,24.193568,0.999999,1019,5,0.086783,0.117249,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,approx,0.000000,24.193568,0.999999,638,261,0.073078,0.105909,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,approx,0.020000,24.193568,0.999999,497,296,0.051457,0.055551,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,approx,0.050000,24.193568,0.999999,326,291,0.041508,0.045169,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,approx,0.100000,24.193568,0.999999,133,233,0.030728,0.041973,1
instances/k08_clustered_loose_s2.txt,8,clustered,loose,2,24.1936,approx,0.200000,24.193568,0.999999,14,69,0.022101,0.023097,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,brute,0.000000,26.591198,1.000000,40320,0,0.618455,0.718238,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,dp,0.000000,26.591198,1.000000,1024,0,0.017793,0.029628,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,dp_par,0.000000,26.591198,1.000000,1024,0,0.027182,0.030844,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,dp_prune,0.000000,26.591198,1.000000,798,226,0.054312,0.082804,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,approx,0.000000,26.591198,1.000000,783,241,0.073088,0.100536,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,approx,0.020000,26.591198,1.000000,646,372,0.072035,0.085940,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,approx,0.050000,26.591198,1.000000,474,443,0.049994,0.070289,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,approx,0.100000,26.640247,1.001844,188,240,0.030969,0.037192,1
instances/k08_clustered_loose_s3.txt,8,clustered,loose,3,26.5912,approx,0.200000,26.794249,1.007636,10,36,0.017824,0.018998,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,brute,0.000000,35.162673,0.999999,40320,0,0.659393,0.682606,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,dp,0.000000,35.162673,0.999999,1024,0,0.029365,0.033487,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,dp_par,0.000000,35.162673,0.999999,1024,0,0.027572,0.038146,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,dp_prune,0.000000,35.162673,0.999999,734,290,0.064832,0.096840,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,approx,0.000000,35.162673,0.999999,641,383,0.073899,0.094582,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,approx,0.020000,35.162673,0.999999,603,421,0.054292,0.058987,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,approx,0.050000,35.162673,0.999999,582,431,0.060074,0.080103,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,approx,0.100000,35.162673,0.999999,461,197,0.043692,0.057354,1
instances/k08_clustered_loose_s4.txt,8,clustered,loose,4,35.1627,approx,0.200000,35.162673,0.999999,11,49,0.018274,0.019641,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,brute,0.000000,41.977337,1.000001,40320,0,0.336955,0.403803,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,dp,0.000000,41.977337,1.000001,559,0,0.013215,0.019639,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,dp_par,0.000000,41.977337,1.000001,559,0,0.026740,0.033465,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,dp_prune,0.000000,41.977337,1.000001,51,73,0.011902,0.014581,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,approx,0.000000,41.977337,1.000001,51,73,0.014898,0.035144,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,approx,0.020000,41.977337,1.000001,51,73,0.014657,0.014756,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,approx,0.050000,41.977337,1.000001,51,73,0.014708,0.014748,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,approx,0.100000,41.977337,1.000001,51,73,0.014687,0.018016,1
instances/k08_clustered_tight_s0.txt,8,clustered,tight,0,41.9773,approx,0.200000,41.977337,1.000001,51,73,0.014667,0.014700,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,brute,0.000000,39.947157,0.999999,40320,0,0.315975,0.367911,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,dp,0.000000,39.947157,0.999999,538,0,0.011421,0.015281,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,dp_par,0.000000,39.947157,0.999999,538,0,0.027571,0.030711,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,dp_prune,0.000000,39.947157,0.999999,25,47,0.010891,0.013127,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,approx,0.000000,39.947157,0.999999,20,51,0.016020,0.017978,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,approx,0.020000,39.947157,0.999999,20,51,0.015669,0.015816,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,approx,0.050000,39.947157,0.999999,20,51,0.015629,0.015676,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,approx,0.100000,39.947157,0.999999,20,51,0.015719,0.015748,1
instances/k08_clustered_tight_s1.txt,8,clustered,tight,1,39.9472,approx,0.200000,39.947157,0.999999,15,50,0.015469,0.015994,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,brute,0.000000,43.415967,0.999999,40320,0,0.393482,0.404695,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,dp,0.000000,43.415967,0.999999,746,0,0.014257,0.019954,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,dp_par,0.000000,43.415967,0.999999,746,0,0.027662,0.049507,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,dp_prune,0.000000,43.415967,0.999999,71,68,0.013135,0.016291,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,approx,0.000000,43.415967,0.999999,70,69,0.018936,0.021999,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,approx,0.020000,43.415967,0.999999,55,81,0.018275,0.018411,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,approx,0.050000,43.596413,1.004155,28,86,0.016911,0.017116,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,approx,0.100000,43.596413,1.004155,9,38,0.015419,0.020943,1
instances/k08_clustered_tight_s2.txt,8,clustered,tight,2,43.416,approx,0.200000,43.596413,1.004155,6,37,0.015209,0.015255,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,brute,0.000000,74.467520,1.000000,40320,0,0.384915,0.429109,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,dp,0.000000,74.467520,1.000000,710,0,0.014868,0.020084,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,dp_par,0.000000,74.467520,1.000000,710,0,0.029185,0.062868,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,dp_prune,0.000000,74.467520,1.000000,46,94,0.012243,0.015062,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,approx,0.000000,74.467520,1.000000,46,94,0.020589,0.023492,1
