
AMDuProfPcm Report

Processor Name:,AMD Ryzen 7 7735H with Radeon Graphics
System:,Family(0x19) Model(0x44) Stepping(0x1)
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15

Core P0 state frequency (MHz):,3200.000000
Multiplex interval (ms):,100
Sample interval (ms):,1000
Data Collection Driver:,MSR Driver
Version:,5.2.431.0 (Public)

Hypervisor Info:
Hypervisor Enabled:,True
Hypervisor Supported:,True
Hypervisor Vendor:,Microsoft Hyper-V
Root/Host Partition:,1
Command:,"AMDuProfPcm -m cache_miss,l2 -s -o cache_result.csv -- .\BX_lab01_1.exe"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/31 11:15:32:025
,CORE METRICS,,,,,,,,,,,,,,,,
,System (Aggregated),,,,,,,,,,,,,,,,
Timestamp,L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L1 DC Miss (pti),L2 Data Read Miss (pti),L1 IC Miss (pti),L2 Code Read Miss (pti),
00:01:04:286,62.85,55.35,24.86,8.99,45.96,28.89,10.83,6.24,73.24,49.96,20.30,2.75,36.04,27.16,87.12,41.47,
00:01:05:367,146.01,96.12,50.12,13.99,86.99,56.61,20.69,9.69,73.06,49.79,18.66,4.29,31.45,25.86,87.66,35.18,
00:01:06:418,149.71,99.84,35.68,13.40,73.29,48.30,15.59,9.39,78.37,52.18,22.10,4.01,35.68,32.42,122.70,54.72,
00:01:07:463,127.31,92.91,41.88,10.27,69.18,45.55,16.68,6.95,86.87,56.19,27.03,3.31,46.71,83.64,128.53,62.01,
00:01:08:500,186.59,129.91,36.49,15.56,97.08,67.96,17.65,11.47,79.35,52.18,23.03,4.09,31.71,24.38,103.13,41.54,
00:01:09:543,163.96,95.82,48.22,13.51,82.53,56.37,16.77,9.39,70.61,43.19,22.91,4.12,31.28,29.01,126.95,65.25,
00:01:10:587,147.54,89.72,37.71,11.80,64.06,42.56,13.49,8.01,65.92,31.64,30.00,3.79,30.47,22.04,106.77,38.55,
00:01:11:613,156.12,90.30,37.97,13.34,68.59,45.74,13.52,9.32,86.39,62.88,17.95,4.01,45.19,53.00,102.45,40.92,
00:01:12:645,170.12,161.27,41.17,26.73,138.76,97.19,22.32,19.25,83.13,59.34,16.60,7.48,43.82,54.72,158.37,79.09,
00:01:13:668,169.54,147.15,41.50,26.93,125.57,84.76,21.34,19.47,90.69,67.09,17.80,7.46,40.48,24.51,192.41,102.98,
00:01:14:699,163.89,147.21,36.97,26.67,123.66,84.37,20.08,19.21,79.25,55.38,15.56,7.46,38.26,36.06,142.30,69.06,
00:01:15:726,168.38,69.34,52.28,26.75,89.74,52.39,17.81,19.53,62.49,17.85,37.13,7.21,41.26,34.64,105.01,52.22,
00:01:16:751,219.14,110.81,37.12,16.68,89.04,60.84,15.79,12.41,62.90,43.77,14.01,4.28,43.16,23.46,108.57,54.72,
00:01:17:785,187.87,97.19,26.88,17.12,86.09,59.78,14.12,12.19,56.69,38.54,11.68,4.92,43.18,24.00,116.73,58.75,
00:01:18:810,215.66,155.14,40.98,16.79,125.05,90.79,21.59,12.67,78.42,55.36,18.89,4.12,42.94,26.83,112.39,57.49,
00:01:19:837,155.20,90.96,31.00,13.28,74.43,50.96,13.99,9.49,56.47,37.11,15.79,3.79,33.82,35.26,133.19,61.28,
00:01:20:868,218.79,157.80,37.50,17.06,123.12,91.02,19.56,12.53,86.70,64.59,16.10,4.53,37.62,35.52,183.28,93.05,
00:01:21:893,125.10,155.37,38.87,11.18,122.05,93.98,20.41,7.66,59.88,41.34,14.79,3.52,34.84,34.32,158.41,85.76,
00:01:22:937,210.45,111.68,36.74,16.63,90.93,62.10,16.39,12.45,80.36,59.80,15.77,4.18,35.98,36.00,175.95,92.05,
00:01:24:025,213.64,76.03,28.40,17.86,59.04,35.29,10.49,13.26,79.24,49.37,25.09,4.60,33.15,32.38,150.89,76.92,
00:01:25:059,161.98,96.14,46.58,15.27,82.70,55.81,15.82,11.07,92.08,70.53,16.33,4.21,36.26,24.77,137.14,72.94,
00:01:26:110,60.00,91.56,41.47,7.86,75.30,54.53,14.36,6.41,49.23,34.35,11.98,1.45,36.86,27.37,134.40,66.40,
